key,en,nl
player_1,"Hi, Danny. I heard you are having some problems, what has been going on?","Hoi, Danny. Ik hoorde dat je problemen hebt, wat is er aan de hand?"
danny_1,"*Hey, Thank you for checking in on me * *There is this image of me doing horrible things circulating* *That is not me I don't know what happened.*","*Hé, bedankt dat je even bij me hebt gekeken* *Er circuleert een beeld van mij terwijl ik vreselijke dingen doe* *Dat ben ik niet, ik weet niet wat er is gebeurd.*"
danny_1_1,"That sounds bad, what is in the picture?","Dat klinkt slecht, wat is er op de foto?"
danny_1_2,I am so sorry to hear this. How can I help you?,Het spijt me zo om dit te horen. Hoe kan ik u helpen?
danny_1_3,"I am sure it will all blow over. Anyways, I have to run. ","Ik weet zeker dat het allemaal overwaait. Hoe dan ook, ik moet gaan."
danny_2," I don’t really want to talk about it. I don’t want anyone else to see it, I don’t even want to be associated with it","Ik wil er eigenlijk niet over praten. Ik wil niet dat iemand anders het ziet, ik wil er niet eens mee geassocieerd worden"
danny_3,"I truly don’t know, I just don’t want people to see it at all. I don’t want to be associated with that horrible","Ik weet het echt niet, ik wil gewoon niet dat mensen het überhaupt zien. Ik wil niet met zo'n vreselijke situatie geassocieerd worden"
danny_4,"I don’t know that it will… but thanks, I guess. Bye","Ik weet niet of het zal gebeuren... maar bedankt, denk ik. Dag"
danny_2_1,"I see… well, do you have the picture, who has it now?","Ik begrijp het... Nou, heb je de foto, wie heeft hem nu?"
danny_2_2,Let’s investigate. How did you first learn about this image going around?,Laten we het onderzoeken. Hoe heb je voor het eerst gehoord over dit beeld dat rondgaat?
danny_5,don’t really know who has it. Apparently it is being passed around,Ik weet eigenlijk niet wie het heeft. Blijkbaar wordt het rondgedeeld
danny_6,"don’t know the penguin’s name, but he had a ________ ","Ik weet de naam van de pinguïn niet, maar hij had een ________ "
danny_3_1,"This must’ve been very hard, I know you don’t want people to see it.","Dit moet heel moeilijk zijn geweest, ik weet dat je niet wilt dat mensen het zien."
danny_3_2,I feel like I need to see the picture to understand how to approach this.,Ik heb het gevoel dat ik het plaatje moet zien om te begrijpen hoe ik dit moet aanpakken.
